"obs_id","Y","delta","X"
"1",1,2.52647923199907,1,1
"7",2,2.59817262151765,1,1
"15",3,4.40111376571509,1,1
"24",4,1.66631934315406,1,0
"30",5,6.27180357850157,0,1
"38",6,4.49818775225831,1,1
"45",7,4.56391002759396,1,0
"54",8,0.685383266219124,1,0
"57",9,3.91863464534208,1,0
"65",10,6.59869763024617,0,1
"72",11,6.86515114014037,0,0
"81",12,1.5265020886508,1,1
"85",13,4.88095145642608,1,1
"94",14,1.61611537792289,1,1
"100",15,1.69253543057775,1,1
"106",16,2.3907931280318,1,1
"113",17,0.886659436272807,1,0
"116",18,0.828951944735996,1,0
"119",19,1.42365526018047,1,1
"125",20,1.05245396686848,1,1
"129",21,3.3820854398428,1,1
"136",22,6.19390053779511,1,1
"143",23,0.676157913455926,1,0
"146",24,0.857894522413379,1,1
"149",25,7.02139053118881,0,1
"158",26,1.01527147868462,1,0
"163",27,1.16957791964135,1,1
"167",28,0.645790964045469,1,0
"169",29,2.80955877109158,1,0
"176",30,1.18475490255249,1,0
"181",31,2.05297668363156,1,0
"188",32,0.394098033799464,1,1
"190",33,0.609369966187421,1,1
"192",34,2.47029081244736,1,0
"200",35,1.79823120453139,1,0
"207",36,1.22950042422563,1,1
"211",37,1.17660225337895,1,0
"215",38,0.926516598081542,1,0
"219",39,0.899487116903975,1,1
"222",40,1.37986115751886,1,0
"228",41,0.944080984351947,1,0
"232",42,6.22904456360266,0,1
"239",43,1.72009078464953,1,1
"244",44,1.48529925297063,1,1
"249",45,6.97168303614017,0,1
"256",46,0.787880890697031,1,0
"259",47,6.18336329257581,0,0
"266",48,2.74378510214048,1,0
"272",49,0.965156349851447,1,1
"276",50,1.70898335077674,1,0
"280",51,0.640850047104387,1,1
"283",52,1.15282677451416,1,0
"288",53,1.24390826076714,1,1
"291",54,2.03104272602329,1,0
"299",55,1.47042988495259,1,1
"305",56,1.57807658320719,1,0
"312",57,1.39203742173016,1,0
"317",58,1.28155273768352,1,0
"322",59,4.1021127455032,1,0
"329",60,1.43261336900396,1,0
"334",61,2.25423609495615,1,0
"343",62,6.33639574635308,0,1
"351",63,1.21344557959179,1,1
"356",64,4.38766174601454,1,1
"363",65,1.32842981733067,1,0
"369",66,0.875733505856874,1,0
"373",67,2.20063631764709,1,0
"382",68,1.797569520199,1,1
"388",69,0.820408296122029,1,0
"392",70,1.75168774151416,1,1
"399",71,1.18868998748818,1,1
"404",72,2.02076527568605,1,1
"413",73,4.11388820761633,1,0
"421",74,1.22144588048405,1,0
"425",75,6.58566895842087,0,0
"433",76,6.73575538180303,0,0
"440",77,2.71116712125959,1,0
"447",78,5.59068766994758,1,1
"453",79,6.06246435339563,0,1
"461",80,6.87031026675831,0,0
"468",81,1.89839607888337,1,1
"476",82,0.983336266424554,1,0
"479",83,1.09840641443208,1,0
"482",84,1.62714682134567,1,1
"489",85,1.7864832501879,1,1
"495",86,6.55679966937751,0,1
"502",87,2.37875606330016,1,1
"509",88,1.63171910679301,1,1
"514",89,2.39713596713671,1,1
"521",90,1.23432086786693,1,0
"526",91,3.90018803130924,1,1
"535",92,3.04136393318102,1,0
"542",93,2.93096908992543,1,0
"550",94,1.70131587688355,1,0
"556",95,7.04704416024033,0,1
"564",96,1.41259533341445,1,0
"568",97,1.40130859807015,1,0
"571",98,1.30607581755777,1,0
"575",99,6.66256704726256,0,1
"583",100,2.23074833136587,1,1
"592",101,0.63674843473949,1,0
"595",102,1.27474722813335,1,1
"600",103,6.30194027209654,0,0
"608",104,6.01280585110653,0,1
"616",105,6.80539214990567,0,1
"623",106,0.445633476726804,1,1
"625",107,0.753115014309739,1,0
"629",108,2.61064137214054,1,1
"637",109,1.64756465533508,1,1
"644",110,0.584870544860698,1,0
"647",111,2.33347660731005,1,0
"655",112,6.07414902141318,0,1
"662",113,6.97242752769962,0,1
"671",114,1.24704738199979,1,0
"676",115,6.58476965252776,0,1
"683",116,5.22643908494399,1,1
"691",117,6.26031513328198,0,0
"699",118,0.679133539360366,1,0
"702",119,6.89581699564587,0,0
"708",120,1.13085535122375,1,0
"711",121,2.14330727433136,1,0
"717",122,2.41258699497837,1,1
"724",123,1.24892501446949,1,0
"728",124,1.35374691593829,1,1
"734",125,2.47596989490744,1,0
"741",126,1.3342575779554,1,1
"746",127,1.06965034676224,1,0
"750",128,3.46580920161307,1,0
"759",129,2.2155278946955,1,1
"767",130,2.35228418365654,1,0
"773",131,6.96160893277265,0,0
"782",132,7.01200289912522,0,1
"790",133,1.60374462240876,1,1
"795",134,2.3209775567201,1,1
"803",135,0.756509067972051,1,1
"807",136,2.49253964163507,1,1
"815",137,1.96685980513487,1,1
"821",138,1.4708678248459,1,0
"827",139,1.06325065270816,1,1
"830",140,3.83066001621245,1,1
"838",141,1.58363586964649,1,0
"843",142,1.00818609083632,1,0
"847",143,4.65460928340689,1,0
"853",144,0.627003012083587,1,0
"855",145,0.646117908058618,1,1
"858",146,1.21226770972586,1,1
"861",147,0.814021050071716,1,0
"865",148,3.40363627168764,1,0
"874",149,6.27539584806655,0,1
"882",150,3.17397141376997,1,1
"890",151,1.09923266439533,1,0
"894",152,6.25645197685808,0,1
"902",153,6.32907649576664,0,1
"911",154,1.59175438688176,1,1
"918",155,1.76081395408891,1,0
"924",156,2.18336703422528,1,1
"932",157,0.960933965805476,1,1
"936",158,4.10138289070036,1,0
"942",159,1.18840360521551,1,0
"946",160,3.84975077496532,1,1
"952",161,1.84394559349567,1,1
"958",162,0.96548211640541,1,1
"961",163,2.76383898137845,1,1
"969",164,2.71216053285566,1,0
"976",165,2.16651037022695,1,0
"982",166,3.0018975819631,1,0
"989",167,5.55576751616979,1,0
"997",168,5.35374282021318,1,1
"1004",169,6.67006280783098,0,1
"1008",170,6.88932085405104,0,0
"1017",171,0.800611030787695,1,1
"1020",172,1.9816808018842,1,0
"1026",173,6.03576104512904,0,0
"1032",174,1.34593835528228,1,0
"1037",175,1.81045133182788,1,0
"1044",176,3.96283916035309,1,0
"1052",177,1.22749242066734,1,0
"1055",178,1.84489817984956,1,0
"1062",179,1.66143572020351,1,0
"1066",180,0.466078727407544,1,0
"1068",181,1.55521294469582,1,0
"1075",182,1.08247257197653,1,0
"1077",183,1.87193289301682,1,0
"1084",184,2.44364149795054,1,0
"1091",185,2.81891553283846,1,1
"1100",186,2.42066541769719,1,1
"1106",187,6.15031034257263,0,1
"1115",188,1.62919697998774,1,1
"1118",189,1.22033220359865,1,0
"1123",190,6.63793080199976,0,0
"1131",191,3.32173634670731,1,1
"1139",192,6.88061899563763,0,1
"1147",193,0.946240210565855,1,0
"1151",194,1.91977102700991,1,0
"1158",195,0.631296781942202,1,0
"1161",196,2.18073627804942,1,0
"1168",197,6.09858473194763,0,0
"1174",198,1.19827817614451,1,1
"1178",199,0.542861606042693,1,0
"1181",200,1.76874730587609,1,1
